Symbol,Market Price,Type,Expiry,Strike,Premium,Intrinsic Value,Profit
CACI,414.92999267578125,put,2025-10-17,460.0,133.5,45.07000732421875,9753.799267578124
CACC,482.1499938964844,put,2025-12-19,500.0,102.1,17.850006103515625,9744.99938964844
MDGL,307.7799987792969,put,2026-01-16,310.0,59.7,2.220001220703125,6566.399877929686
MUSA,506.4599914550781,put,2025-07-18,520.0,69.8,13.540008544921875,6140.799145507814
ROOT,128.1199951171875,put,2027-01-15,135.0,56.0,6.8800048828125,5802.99951171875
RH,153.85000610351562,put,2027-01-15,155.0,47.9,1.149993896484375,5698.000610351563
WING,217.8300018310547,put,2027-01-15,220.0,44.6,2.1699981689453125,5695.000183105468
SAIA,318.5,put,2025-12-19,330.0,59.1,11.5,5631.200000000002
GPI,392.70001220703125,put,2025-11-21,400.0,45.5,7.29998779296875,4744.001220703125
AVAV,143.80999755859375,put,2027-01-15,165.0,56.8,21.19000244140625,4649.999755859375
CVCO,469.45001220703125,put,2025-09-19,480.0,47.5,10.54998779296875,4487.001220703125
AGX,148.72000122070312,put,2025-04-17,170.0,64.9,21.279998779296875,4362.000122070313
NEU,558.6900024414062,put,2025-11-21,575.0,46.5,16.30999755859375,4347.250244140625
ASND,158.14999389648438,put,2025-12-19,185.0,63.0,26.850006103515625,4103.399389648437
LAD,283.1499938964844,put,2025-12-19,290.0,39.0,6.850006103515625,3980.5993896484374
HII,215.60000610351562,put,2025-12-19,250.0,67.5,34.399993896484375,3970.0006103515625
EAT,150.3300018310547,put,2027-01-15,155.0,33.7,4.6699981689453125,3926.000183105469
TMDX,85.37999725341797,put,2026-12-18,95.0,42.5,9.620002746582031,3914.999725341797
MEDP,296.5,put,2025-12-19,310.0,44.0,13.5,3868.4
WIX,161.0500030517578,put,2027-01-15,170.0,36.0,8.949996948242188,3827.0003051757812
FN,186.6999969482422,put,2025-12-19,190.0,35.2,3.3000030517578125,3691.5996948242177
ASR,284.760009765625,put,2025-09-19,290.0,37.0,5.239990234375,3654.5009765625
IESC,186.17999267578125,put,2025-10-17,195.0,41.5,8.82000732421875,3654.099267578125
TLN,203.1999969482422,put,2025-11-21,210.0,38.4,6.8000030517578125,3645.099694824219
POWL,166.9499969482422,put,2025-11-21,170.0,35.5,3.0500030517578125,3637.6996948242186
BLD,279.2900085449219,put,2025-10-17,280.0,29.4,0.709991455078125,3423.400854492188
CAR,72.69000244140625,put,2027-12-17,75.0,25.3,2.30999755859375,3091.0002441406245
SITM,129.77999877929688,put,2025-11-21,130.0,28.1,0.220001220703125,3088.299877929687
LNTH,100.5199966430664,put,2027-01-15,120.0,42.0,19.480003356933594,3043.9996643066406
IDCC,196.97999572753906,put,2026-01-16,200.0,27.1,3.0200042724609375,2935.999572753906
KRYS,164.6999969482422,put,2025-12-19,165.0,25.3,0.3000030517578125,2935.5996948242196
CRS,172.17999267578125,put,2025-12-19,175.0,27.5,2.82000732421875,2929.999267578125
CLS,80.55999755859375,put,2027-01-15,82.5,25.0,1.94000244140625,2850.499755859375
AXSM,104.47000122070312,put,2027-01-15,105.0,22.0,0.529998779296875,2840.0001220703125
AYI,228.5399932861328,put,2025-11-21,230.0,24.4,1.4600067138671875,2825.299328613282
ABG,216.77999877929688,put,2025-11-21,220.0,26.0,3.220001220703125,2786.1998779296873
SAM,238.4199981689453,put,2025-09-19,240.0,24.7,1.5800018310546875,2707.9998168945303
CAVA,85.55999755859375,put,2026-12-18,105.0,39.25,19.44000244140625,2673.999755859375
NVMI,174.5399932861328,put,2025-11-21,185.0,32.9,10.460006713867188,2671.3493286132816
MTZ,117.41000366210938,put,2027-01-15,125.0,26.0,7.589996337890625,2666.0003662109375
DY,152.32000732421875,put,2025-09-19,160.0,31.5,7.67999267578125,2646.000732421875
STRL,140.44000244140625,put,2025-09-19,200.0,82.5,59.55999755859375,2624.000244140625
APPF,217.9199981689453,put,2025-10-17,220.0,23.5,2.0800018310546875,2577.599816894531
WGS,98.27999877929688,put,2025-09-19,100.0,25.7,1.720001220703125,2562.999877929688
GNRC,110.6500015258789,put,2027-01-15,115.0,22.3,4.349998474121094,2554.0001525878906
OSIS,189.35000610351562,put,2025-12-19,195.0,25.9,5.649993896484375,2539.8006103515627
CROX,88.66999816894531,put,2027-01-15,90.0,20.7,1.3300018310546875,2530.9998168945312
INSP,146.91000366210938,put,2025-12-19,150.0,24.0,3.089996337890625,2487.0003662109375
GTLS,124.80999755859375,put,2025-12-19,125.0,21.6,0.19000244140625,2470.9997558593745
BIO,245.2100067138672,put,2025-09-19,250.0,25.3,4.7899932861328125,2463.5006713867197
OLLI,109.97000122070312,put,2027-01-15,110.0,17.0,0.029998779296875,2423.0001220703125
MOD,75.43000030517578,put,2027-01-15,80.0,23.5,4.569999694824219,2421.000030517578
ANF,69.37000274658203,put,2027-01-15,70.0,20.2,0.6299972534179688,2419.000274658203
AMR,118.4800033569336,put,2026-01-16,120.0,22.1,1.5199966430664062,2374.800335693359
COOP,112.72000122070312,put,2026-06-18,125.0,30.0,12.279998779296875,2349.5001220703125
ALAB,58.78499984741211,put,2027-01-15,60.0,20.6,1.2150001525878906,2334.499984741211
GPOR,170.0,put,2025-12-19,175.0,23.6,5.0,2321.9999999999995
LRN,135.4600067138672,put,2025-11-21,145.0,29.3,9.539993286132812,2310.9506713867186
UFPT,205.4499969482422,put,2025-10-17,230.0,43.0,24.550003051757812,2300.399694824219
WCC,147.91000366210938,put,2025-12-19,150.0,21.0,2.089996337890625,2287.0003662109375
ONTO,114.88999938964844,put,2025-12-19,115.0,19.8,0.1100006103515625,2272.5999389648437
DAVE,82.16999816894531,put,2025-12-19,85.0,23.2,2.8300018310546875,2261.3998168945313
CVLT,151.05999755859375,put,2025-12-19,160.0,27.2,8.94000244140625,2248.3997558593737
EVR,178.3300018310547,put,2025-09-19,180.0,21.0,1.6699981689453125,2230.0001831054688
WDFC,217.67999267578125,put,2025-12-19,220.0,18.6,2.32000732421875,2208.7992675781243
CHE,581.3699951171875,put,2025-09-19,640.0,70.0,58.6300048828125,2192.99951171875
PIPR,223.39999389648438,put,2025-09-19,227.0,21.5,3.600006103515625,2164.5493896484377
FOUR,77.44000244140625,put,2027-01-15,77.5,16.5,0.05999755859375,2155.500244140625
EPAM,147.27999877929688,put,2025-12-19,150.0,20.2,2.720001220703125,2143.9998779296866
WHR,77.38999938964844,put,2027-01-15,80.0,18.7,2.6100006103515625,2136.9999389648438
RGEN,132.10000610351562,put,2025-12-19,155.0,39.4,22.899993896484375,2059.200610351563
VMI,281.1099853515625,put,2025-11-21,310.0,42.3,28.8900146484375,2057.0985351562513
SLNO,69.93000030517578,put,2027-01-15,70.0,16.0,0.06999969482421875,2055.000030517578
ESTC,78.79000091552734,put,2027-01-15,85.0,20.5,6.209999084472656,1990.0000915527344
SHAK,80.44999694824219,put,2027-01-15,90.0,23.4,9.550003051757812,1978.9996948242192
VRNA,58.29999923706055,put,2027-01-15,60.0,17.4,1.7000007629394531,1965.9999237060545
MKTX,222.72999572753906,put,2025-11-21,230.0,21.6,7.2700042724609375,1964.299572753906
